Result,Season,Score.Diff,Seed.Diff,Higher.Seed,SAG.Diff,Higher.SAG
Loss,2012,-6,-3,3,-13,21
Win,2012,34,-8,7,-165,17
Win,2012,3,-8,2,-24,4
Win,2012,4,-8,1,-16,3
Loss,2012,-3,-8,3,-31,14
Win,2012,14,-7,1,-19,6
Loss,2012,-6,-1,12,-2,70
Win,2012,12,-5,10,-37,55
Loss,2012,-10,-4,3,-2,15
Loss,2012,-13,-3,1,-15,3
Win,2012,15,-4,2,-32,2
Win,2012,1,-3,1,-3,5
Win,2012,5,-7,3,-43,12
Win,2012,3,-9,2,-41,4
Win,2012,12,-3,1,-8,1
Win,2012,8,-12,1,-66,6
Win,2012,4,-3,4,1,17
Loss,2012,-7,-1,1,3,2
Loss,2012,-13,-1,1,2,4
Win,2012,12,-2,1,-11,1
Win,2012,2,0,2,2,2
Win,2012,8,-3,1,-17,1
Win,2012,8,-1,1,-3,1
Win,2013,1,0,16,-18,242
Win,2013,13,0,11,-19,34
Win,2013,13,0,16,6,163
Win,2013,9,0,13,-1,57
Win,2013,17,-5,6,-27,23
Win,2013,12,-5,6,-28,45
Loss,2013,-3,-7,5,-17,39
Win,2013,12,-1,8,20,16
Win,2013,6,-15,1,-208,6
Loss,2013,-6,-11,3,-88,17
Win,2013,31,-15,1,-241,1
Win,2013,1,-11,3,-42,22
Win,2013,2,-5,6,-7,27
Win,2013,15,-9,4,-82,11
Win,2013,11,-11,3,-57,8
Loss,2013,-13,-7,5,-29,18
Win,2013,20,-9,4,-64,15
Win,2013,47,-9,4,-120,13
Win,2013,46,-7,5,-36,26
Loss,2013,-18,-1,8,-32,10
Win,2013,4,-3,7,-14,21
Win,2013,12,-13,2,-160,7
Loss,2013,-10,-13,2,-117,9
Win,2013,32,-11,3,-135,3
Win,2013,8,-3,7,-8,44
Win,2013,21,-15,1,-167,2
Loss,2013,-18,-3,7,-9,24
Win,2013,7,-15,1,-178,4
Loss,2013,-2,-9,4,-37,20
Win,2013,29,-13,2,-116,14
Loss,2013,-20,-5,6,11,30
Loss,2013,-11,-7,5,-16,12
Win,2013,7,-1,8,-21,19
Win,2013,25,-13,2,-93,5
Win,2013,15,-3,7,-11,32
Loss,2013,-4,-1,8,-30,25
Win,2013,23,-8,6,-82,23
Win,2013,26,-7,1,-35,1
Win,2013,2,-3,3,-23,22
Win,2013,25,-1,4,-15,11
Win,2013,22,-3,3,-19,8
Loss,2013,-17,-8,4,-32,15
Win,2013,6,-8,4,-43,13
Loss,2013,-6,-8,1,-36,6
Win,2013,16,-5,2,-14,7
Loss,2013,-10,-8,7,-94,32
Win,2013,14,-8,3,-27,3
Win,2013,6,-8,1,-53,2
Win,2013,12,-7,1,-15,4
Loss,2013,-2,-1,12,-29,28
Win,2013,4,-5,2,-30,14
Win,2013,3,-8,2,-28,5
Loss,2013,-10,-1,2,-8,14
Win,2013,3,-4,2,-18,5
Loss,2013,-11,-3,1,-11,2
Win,2013,14,-4,9,-15,42
Win,2013,10,-1,2,-1,7
Win,2013,12,-12,3,-123,3
Win,2013,8,-11,1,-46,1
Loss,2013,-2,-3,1,-7,4
Loss,2013,-16,-1,3,9,13
Loss,2013,-4,-7,2,-37,5
Win,2013,22,-1,1,-6,1
Loss,2013,-20,-1,3,-8,3
Win,2013,4,-8,1,-41,1
Win,2013,5,0,4,-2,11
Win,2013,6,-3,1,-10,1
Win,2014,7,0,16,-30,185
Win,2014,15,0,12,19,48
Win,2014,12,0,16,-79,175
Win,2014,13,0,11,8,17
Win,2014,8,-3,7,-32,24
Loss,2014,-1,-5,6,-44,14
Win,2014,12,-15,1,-182,3
Loss,2014,-4,-7,5,-7,28
Win,2014,7,-9,4,-72,2
Win,2014,17,-13,2,-182,10
Win,2014,15,-9,4,-98,8
Loss,2014,-5,-7,5,-39,26
Win,2014,19,-3,7,-12,30
Loss,2014,-29,-1,8,35,20
Win,2014,4,-9,4,-57,22
Win,2014,3,-7,5,-31,36
Win,2014,24,-11,3,-104,19
Win,2014,2,-3,7,2,37
Win,2014,20,-13,2,-161,4
Win,2014,40,-13,2,-108,9
Win,2014,9,-15,1,-170,1
Win,2014,14,-5,6,-25,29
Win,2014,10,-11,3,-108,11
Win,2014,8,-1,8,5,16
Win,2014,18,-11,3,-70,13
Win,2014,11,-13,2,-137,6
Win,2014,7,-1,8,-22,18
Win,2014,5,-1,8,-5,41
Loss,2014,-7,-11,3,-82,7
Win,2014,2,-5,6,-18,27
Loss,2014,-2,-7,5,-59,23
Loss,2014,-5,-3,7,-2,31
Loss,2014,-19,-5,6,22,25
Win,2014,17,-9,4,-56,15
Win,2014,11,-15,1,-219,5
Win,2014,27,-15,1,-163,12
Loss,2014,-12,-5,2,-20,4
Loss,2014,-2,-8,3,-39,19
Win,2014,16,-8,1,-17,3
Win,2014,15,-1,4,-34,2
Win,2014,14,-5,2,-29,10
Win,2014,7,-8,4,-27,8
Win,2014,19,-8,4,-43,22
Win,2014,8,-5,2,-21,9
Win,2014,23,-7,1,-20,1
Loss,2014,-30,-3,3,-18,11
Win,2014,2,-3,3,-14,13
Loss,2014,-2,-7,1,-6,12
Loss,2014,-3,-8,2,-27,6
Win,2014,20,-3,11,-64,25
Win,2014,17,-8,4,-67,15
Win,2014,18,-7,1,-36,5
Win,2014,6,-3,1,-21,1
Loss,2014,-10,-1,10,-25,33
Win,2014,11,-3,1,-12,3
Win,2014,17,-4,2,-20,9
Loss,2014,-5,-4,3,-11,13
Loss,2014,-5,-4,4,-16,2
Win,2014,2,-9,2,-15,10
Loss,2014,-2,-3,1,-3,5
Win,2014,10,-10,1,-55,3
Loss,2014,-1,-1,1,-8,1
Loss,2014,-6,-3,4,-16,8
Loss,2014,-3,-6,2,-8,10
Loss,2014,-10,-6,1,-21,3
Loss,2014,-1,-6,2,-9,9
Win,2014,6,-1,7,6,18
Win,2015,10,0,16,107,159
Win,2015,4,0,11,15,36
Win,2015,1,0,11,3,45
Win,2015,4,0,16,40,143
Win,2015,21,-13,2,-200,4
Win,2015,3,-7,5,-67,25
Win,2015,8,-5,6,-1,20
Win,2015,1,-1,8,17,33
Win,2015,10,-9,4,-101,23
Loss,2015,-1,-11,3,-64,14
Win,2015,23,-15,1,-265,1
Win,2015,1,-1,8,-11,32
Win,2015,2,-9,4,-76,9
Win,2015,4,-11,3,-115,8
Loss,2015,-3,-3,7,14,17
Loss,2015,-1,-11,3,-133,11
Loss,2015,-1,-5,6,-18,29
Win,2015,7,-7,5,-29,12
Win,2015,41,-15,1,-170,6
Win,2015,19,-5,6,-25,26
Loss,2015,-13,-5,6,-20,28
Win,2015,29,-15,1,-178,5
Win,2015,10,-13,2,-147,7
Win,2015,31,-3,7,-6,24
Win,2015,19,-13,2,-96,10
Win,2015,2,-9,4,-82,15
Win,2015,3,-9,4,-40,27
Win,2015,7,-3,7,-21,16
Win,2015,17,-7,5,-76,22
Win,2015,9,-11,3,-117,13
Win,2015,6,-1,8,10,34
Win,2015,12,-1,8,-3,35
Win,2015,12,-13,2,-147,3
Win,2015,6,-7,5,-40,19
Win,2015,5,-3,7,-22,18
Win,2015,14,-15,1,-143,2
Win,2015,15,-8,2,-13,4
Win,2015,13,-7,1,-49,1
Loss,2015,-3,-7,1,-26,6
Win,2015,9,-1,4,-16,9
Win,2015,3,-3,3,-12,8
Win,2015,17,-3,11,-97,47
Loss,2015,-11,-1,4,11,12
Win,2015,8,-8,6,-52,26
Win,2015,19,-7,1,-30,5
Win,2015,19,-5,2,-17,7
Win,2015,13,-1,4,-7,15
Loss,2015,-6,-5,2,-13,3
Win,2015,6,-8,3,-35,13
Loss,2015,-10,-1,4,8,19
Loss,2015,-13,-5,2,-8,10
Win,2015,7,-7,1,-42,2
Win,2015,8,-4,2,-22,4
Win,2015,39,-4,1,-18,1
Win,2015,11,-4,3,-10,8
Win,2015,7,-3,1,-7,2
Win,2015,6,-4,1,-7,5
Win,2015,12,-9,2,-40,7
Win,2015,10,-4,4,-17,15
Loss,2015,-4,-4,3,-3,13
Win,2015,2,-2,1,-7,1
Win,2015,7,-1,1,-2,2
Win,2015,14,-1,1,-2,5
Loss,2015,-6,-3,4,-1,15
Win,2015,20,-6,1,-11,5
Win,2015,7,0,1,1,1
Win,2015,5,0,1,3,2
Win,2016,31,0,16,-85,181
Win,2016,20,0,11,2,23
Win,2016,4,0,16,26,242
Win,2016,5,0,11,-29,37
Loss,2016,-2,-7,5,-62,9
Loss,2016,-10,-1,8,16,30
Loss,2016,-7,-1,8,21,28
Win,2016,8,-9,4,-73,16
Loss,2016,-16,-5,6,7,22
Win,2016,25,-7,5,-98,11
Win,2016,13,-9,4,-76,21
Win,2016,26,-15,1,-217,1
Win,2016,28,-9,4,-88,8
Win,2016,7,-11,3,-120,13
Win,2016,16,-15,1,-178,3
Loss,2016,-1,-1,8,-1,43
Win,2016,11,-11,3,-74,26
Win,2016,36,-15,1,-231,4
Loss,2016,-10,-5,6,-13,12
Loss,2016,-4,-7,5,-32,24
Loss,2016,-11,-9,4,-42,27
Win,2016,2,-3,7,-66,19
Win,2016,5,-7,5,-66,20
Loss,2016,-9,-13,2,-114,2
Loss,2016,-3,-5,6,-42,31
Win,2016,7,-5,6,-2,35
Win,2016,14,-13,2,-107,7
Win,2016,39,-15,1,-253,15
Loss,2016,-14,-11,3,-51,6
Win,2016,2,-1,8,9,32
Loss,2016,-19,-3,7,7,40
Win,2016,27,-11,3,-105,17
Loss,2016,-8,-3,7,19,39
Win,2016,30,-13,2,-134,5
Win,2016,4,-3,7,2,34
Win,2016,18,-13,2,-121,14
Win,2016,7,-8,4,-40,16
Loss,2016,-23,-8,3,4,22
Loss,2016,-6,-1,4,-3,8
Win,2016,17,-8,4,-50,21
Win,2016,12,-8,1,-27,1
Win,2016,8,-8,3,-12,13
Win,2016,19,-8,1,-41,3
Win,2016,8,-8,1,-26,4
Win,2016,13,-8,5,-49,20
Win,2016,1,-8,6,-22,35
Win,2016,4,-8,2,-32,7
Win,2016,5,-7,1,-26,15
Win,2016,25,-5,10,-76,40
Win,2016,4,-8,3,-56,17
Win,2016,19,-5,2,-14,5
Loss,2016,-3,-5,2,-22,14
Win,2016,16,-4,1,-19,1
Win,2016,14,-1,2,-10,7
Win,2016,14,-3,1,-1,15
Win,2016,23,-1,2,-8,5
Win,2016,15,-4,1,-8,3
Win,2016,5,-1,6,-1,35
Win,2016,3,-1,10,18,22
Win,2016,13,-3,1,-17,4
Loss,2016,-12,-1,1,8,7
Loss,2016,-5,-1,1,-4,1
Win,2016,14,-5,1,-32,3
Loss,2016,-6,-9,1,-36,4
Win,2016,17,-9,1,-37,3
Win,2016,44,0,2,-2,5
Loss,2016,-3,-1,1,-2,3
Win,2017,7,0,11,-1,34
Win,2017,1,0,16,8,208
Win,2017,4,0,16,21,179
Win,2017,4,0,11,-3,55
Win,2017,18,-13,2,-158,18
Win,2017,12,-9,4,-88,26
Win,2017,15,-9,4,-67,10
Win,2017,6,-11,3,-93,20
Win,2017,20,-15,1,-179,1
Win,2017,11,-7,5,-40,16
Loss,2017,-9,-7,5,-27,33
Win,2017,2,-1,8,-4,39
Win,2017,2,-7,5,-51,22
Win,2017,10,-9,4,-63,12
Win,2017,8,-3,7,-25,25
Win,2017,20,-15,1,-214,2
Win,2017,5,-7,5,-59,9
Win,2017,6,-9,4,-90,4
Win,2017,10,-1,8,-30,17
Loss,2017,-11,-5,6,10,32
Win,2017,6,-1,8,-12,37
Win,2017,18,-11,3,-83,14
Win,2017,14,-5,6,-13,21
Win,2017,22,-13,2,-153,8
Win,2017,38,-15,1,-194,6
Win,2017,9,-13,2,-148,5
Win,2017,15,-13,2,-179,7
Win,2017,1,-3,7,-1,23
Loss,2017,-20,-1,8,-8,28
Win,2017,39,-15,1,-201,3
Win,2017,16,-11,3,-110,13
Loss,2017,-12,-5,6,-21,27
Win,2017,20,-3,7,1,30
Win,2017,17,-11,3,-123,15
Loss,2017,-1,-5,6,-36,19
Loss,2017,-6,-3,7,29,11
Win,2017,9,-5,2,-7,18
Win,2017,9,-8,4,-34,26
Win,2017,26,-1,4,1,9
Win,2017,6,-7,1,-38,1
Win,2017,4,-1,4,-4,12
Win,2017,12,-1,4,-18,4
Loss,2017,-3,-7,1,-15,2
Loss,2017,-25,-8,3,-12,20
Win,2017,4,-8,3,-41,14
Win,2017,20,-8,1,-30,6
Win,2017,3,-8,2,-6,5
Loss,2017,-4,-5,2,-16,7
Win,2017,7,-7,1,-34,3
Win,2017,3,-8,3,-35,13
Loss,2017,-7,-5,2,-23,8
Win,2017,12,-3,3,-6,15
Win,2017,3,-3,1,-3,1
Win,2017,32,-3,1,-6,6
Win,2017,1,-4,3,-10,13
Loss,2017,-2,-9,2,-14,18
Win,2017,1,-4,4,-7,10
Win,2017,11,-1,2,-10,5
Win,2017,12,-3,1,-23,3
Loss,2017,-20,-4,3,-17,14
Win,2017,24,-10,1,-31,1
Loss,2017,-14,-2,1,-7,6
Win,2017,2,-1,1,-2,3
Loss,2017,-7,-3,4,-21,10
Win,2017,4,-6,1,-30,1
Win,2017,1,-2,1,-10,3
Win,2017,6,0,1,2,1
Win,2018,10,0,16,-65,191
Win,2018,7,0,11,16,44
Win,2018,4,0,11,1,49
Win,2018,18,0,16,-53,242
Loss,2018,-3,-1,8,-9,37
Loss,2018,-21,-9,4,-57,16
Win,2018,22,-13,2,-123,3
Win,2018,15,-5,6,-42,18
Win,2018,4,-9,4,-93,10
Win,2018,2,-5,6,-32,20
Win,2018,16,-15,1,-112,6
Win,2018,5,-7,5,-39,14
Loss,2018,-2,-5,6,-30,32
Win,2018,14,-11,3,-87,11
Win,2018,8,-7,5,-59,22
Win,2018,5,-3,7,9,36
Win,2018,11,-1,8,-22,26
Win,2018,26,-11,3,-116,17
Win,2018,10,-11,3,-107,13
Win,2018,26,-15,1,-190,1
Win,2018,4,-9,4,-79,33
Loss,2018,-17,-3,7,3,28
Win,2018,15,-13,2,-103,7
Win,2018,11,-7,5,-43,24
Loss,2018,-13,-1,8,9,34
Loss,2018,-10,-1,8,-20,21
Loss,2018,-6,-9,4,-110,15
Win,2018,4,-11,3,-87,4
Win,2018,4,-3,7,10,29
Win,2018,18,-13,2,-160,8
Win,2018,26,-13,2,-166,5
Loss,2018,-5,-5,6,-31,19
Win,2018,4,-3,7,-28,27
Loss,2018,-20,-15,1,-187,2
Win,2018,17,-7,5,-73,9
Win,2018,19,-15,1,-230,12
Win,2018,25,-5,2,-42,3
Win,2018,6,-1,4,-12,10
Win,2018,4,-7,1,-20,6
Win,2018,20,-8,5,-59,14
Loss,2018,-1,-8,3,-45,17
Win,2018,1,-3,3,-9,11
Win,2018,3,-3,3,-5,13
Win,2018,23,-8,1,-45,1
Loss,2018,-31,-1,4,9,24
Loss,2018,-5,-8,1,-22,12
Win,2018,7,-7,9,-148,41
Loss,2018,-2,-5,2,-32,7
Win,2018,3,-8,2,-23,5
Loss,2018,-2,-8,3,-46,4
Loss,2018,-21,-5,2,-19,8
Win,2018,23,-8,5,-116,9
Loss,2018,-15,-5,4,-24,10
Loss,2018,-3,-4,5,-27,14
Loss,2018,-1,-4,7,-23,39
Win,2018,27,-4,3,-16,11
Win,2018,4,-9,2,-47,3
Win,2018,4,-4,1,-18,6
Loss,2018,-13,-1,2,-8,5
Win,2018,12,-4,1,-8,1
Loss,2018,-16,-2,9,-21,41
Win,2018,4,-6,3,-23,11
Win,2018,4,-1,1,3,3
Win,2018,12,-2,1,-12,1
Win,2018,12,-8,3,-51,11
Win,2018,16,0,1,-5,1
Win,2018,17,-2,1,-10,1
Win,2019,11,0,11,-8,60
Win,2019,6,0,16,-13,217
Win,2019,9,0,11,-14,52
Win,2019,4,0,16,-103,193
Win,2019,1,-7,5,-44,11
Loss,2019,-9,-1,8,-12,32
Loss,2019,-9,-3,7,-4,24
Win,2019,7,-9,4,-72,13
Win,2019,38,-15,1,-212,5
Win,2019,34,-9,4,-82,14
Win,2019,35,-13,2,-156,6
Win,2019,5,-11,3,-74,20
Win,2019,2,-5,6,-31,29
Win,2019,19,-13,2,-123,8
Win,2019,11,-13,2,-153,4
Loss,2019,-10,-3,7,-21,22
Loss,2019,-19,-7,5,-33,23
Win,2019,13,-11,3,-101,10
Win,2019,4,-5,6,-20,18
Win,2019,16,-3,7,-15,34
Win,2019,17,-5,6,-26,26
Win,2019,23,-15,1,-192,1
Win,2019,29,-11,3,-95,17
Loss,2019,-7,-3,7,-15,27
Loss,2019,-4,-7,5,-87,21
Win,2019,15,-15,1,-185,3
Loss,2019,-3,-5,6,-26,15
Loss,2019,-23,-1,8,15,31
Loss,2019,-18,-7,5,-17,16
Win,2019,7,-13,2,-130,7
Win,2019,15,-11,3,-101,9
Loss,2019,-6,-9,4,-65,19
Loss,2019,-15,-1,8,12,39
Win,2019,15,-15,1,-176,2
Win,2019,14,-9,4,-88,12
Loss,2019,-17,-1,8,-5,45
Loss,2019,-14,-1,4,3,11
Win,2019,28,-8,4,-43,13
Win,2019,12,-8,1,-39,5
Win,2019,6,-5,2,-28,6
Win,2019,2,-3,3,-9,20
Win,2019,15,-8,2,-20,8
Win,2019,20,-8,2,-39,4
Win,2019,26,-3,3,-8,10
Win,2019,1,-8,1,-38,1
Win,2019,15,-8,3,-24,17
Win,2019,22,-8,1,-47,3
Win,2019,19,-1,12,-51,33
Win,2019,6,-8,2,-35,7
Win,2019,20,-3,3,-17,9
Win,2019,12,-8,1,-29,2
Win,2019,9,-8,4,-96,12
Win,2019,14,-3,1,-8,5
Loss,2019,-5,-1,2,-3,7
Loss,2019,-19,-1,2,-1,8
Win,2019,4,-11,1,-31,2
Loss,2019,-17,-4,1,-8,3
Win,2019,2,-3,1,-11,1
Win,2019,4,-1,2,-11,6
Win,2019,17,-1,2,-16,4
Loss,2019,-6,-2,1,-4,5
Win,2019,5,-2,1,-8,2
Loss,2019,-6,-3,2,-5,6
Loss,2019,-1,-1,1,-3,1
Loss,2019,-10,-1,2,-5,4
Win,2019,1,-4,1,-9,2
Win,2019,8,-2,1,-7,2
Win,2021,1,0,11,4,66
Win,2021,1,0,16,26,185
Win,2021,8,0,16,7,205
Win,2021,6,0,11,6,38
Win,2021,17,-11,3,-52,15
Win,2021,24,-15,1,-184,2
Win,2021,5,-3,7,-10,36
Win,2021,31,-13,2,-163,6
Win,2021,29,-15,1,-136,3
Win,2021,11,-1,8,4,33
Loss,2021,-9,-9,4,-68,16
Win,2021,9,-9,4,-83,26
Loss,2021,-3,-13,2,-145,7
Loss,2021,-14,-7,5,-65,17
Loss,2021,-4,-3,7,5,30
Loss,2021,-16,-5,6,-13,21
Win,2021,12,-5,6,-28,22
Win,2021,10,-7,5,-76,11
Win,2021,17,-11,3,-132,19
Loss,2021,-23,-1,8,7,13
Loss,2021,-1,-11,3,-80,18
Win,2021,13,-13,2,-154,9
Win,2021,23,-7,5,-39,24
Win,2021,1,-7,5,-80,14
Win,2021,10,-9,4,-74,12
Win,2021,43,-15,1,-210,1
Win,2021,12,-13,2,-122,5
Win,2021,9,-11,3,-100,10
Win,2021,15,-1,8,-12,28
Loss,2021,-9,-3,7,-9,23
Win,2021,16,-15,1,-208,4
Loss,2021,-4,-9,4,-94,8
Win,2021,4,-1,8,-12,39
Loss,2021,-11,-5,6,-19,25
Win,2021,16,-5,6,-43,27
Win,2021,2,-3,3,-7,15
Win,2021,13,-8,1,-11,2
Win,2021,3,-8,2,-24,6
Loss,2021,-13,-7,1,-34,3
Loss,2021,-3,-8,7,-116,36
Loss,2021,-10,-8,4,-56,26
Loss,2021,-3,-8,3,-15,19
Win,2021,23,-8,5,-73,11
Win,2021,19,-8,2,-23,9
Win,2021,14,-8,5,-88,14
Win,2021,18,-1,4,-12,12
Win,2021,16,-7,1,-38,1
Win,2021,8,-7,1,-24,4
Loss,2021,-15,-5,2,-26,5
Win,2021,20,-3,11,-54,44
Loss,2021,-34,-3,3,-17,10
Win,2021,2,-12,3,-137,15
Win,2021,11,-4,1,-9,2
Win,2021,16,-9,2,-28,6
Loss,2021,-7,-4,8,-45,37
Win,2021,18,-4,1,-13,1
Win,2021,18,-3,1,-8,4
Loss,2021,-10,-9,2,-35,9
Win,2021,14,-1,6,-4,27
Win,2021,9,-2,1,-13,2
Win,2021,6,-10,2,-76,6
Win,2021,19,-5,1,-26,1
Loss,2021,-2,-10,1,-40,4
Win,2021,19,-1,1,-4,2
Win,2021,3,-10,1,-43,1
Win,2021,16,0,1,1,1
Win,2022,8,0,12,-54,29
Win,2022,9,0,16,-46,214
Win,2022,2,0,11,-3,54
Win,2022,11,0,16,-23,179
Win,2022,4,-9,4,-67,17
Win,2022,36,-15,1,-194,4
Loss,2022,-3,-1,8,-14,31
Win,2022,21,-15,1,-141,1
Win,2022,27,-15,1,-211,3
Loss,2022,-11,-1,8,12,26
Loss,2022,-12,-5,6,13,24
Win,2022,5,-3,7,35,33
Loss,2022,-7,-7,5,-73,16
Win,2022,32,-1,8,-24,25
Win,2022,9,-9,4,-40,35
Loss,2022,-4,-7,5,-63,13
Win,2022,29,-7,5,-8,21
Loss,2022,-6,-13,2,-133,6
Win,2022,32,-11,3,-158,7
Win,2022,4,-9,4,-122,10
Win,2022,17,-15,1,-177,2
Win,2022,19,-13,2,-137,12
Win,2022,17,-13,2,-148,11
Win,2022,14,-7,5,-48,5
Win,2022,1,-9,4,-70,15
Loss,2022,-5,-5,6,-41,19
Loss,2022,-2,-3,7,-34,30
Win,2022,1,-3,7,-28,27
Loss,2022,-14,-5,6,-31,23
Win,2022,13,-3,7,-14,22
Win,2022,22,-11,3,-127,8
Loss,2022,-27,-1,8,-12,32
Win,2022,8,-5,6,-10,18
Win,2022,35,-11,3,-127,14
Win,2022,20,-13,2,-138,9
Win,2022,7,-11,3,-113,20
Win,2022,5,-8,4,-72,17
Win,2022,4,-8,1,-25,1
Win,2022,7,-8,1,-42,3
Loss,2022,-8,-8,3,-17,7
Loss,2022,-7,-7,1,-21,4
Win,2022,28,-8,4,-41,35
Loss,2022,-10,-8,7,-71,68
Win,2022,16,-1,4,-11,10
Win,2022,5,-8,1,-42,2
Win,2022,9,-5,2,-16,11
Loss,2022,-15,-1,4,10,5
Loss,2022,-5,-8,3,-40,20
Loss,2022,-18,-8,2,-52,12
Win,2022,10,-3,3,-10,8
Win,2022,6,-8,3,-40,14
Win,2022,10,-5,2,-13,9
Loss,2022,-6,-3,1,-16,1
Win,2022,5,-1,2,-3,11
Loss,2022,-12,-4,1,-3,2
Win,2022,8,-9,2,-15,9
Win,2022,5,-3,1,-32,3
Win,2022,14,-1,10,4,60
Loss,2022,-7,-4,4,-15,10
Loss,2022,-3,-12,3,-131,8
Win,2022,9,-2,2,-6,11
Win,2022,6,-3,2,4,5
Win,2022,26,-9,1,-61,3
Win,2022,20,-7,8,-114,25
Win,2022,16,-1,1,-6,3
Loss,2022,-4,-6,2,-14,11
Win,2022,3,-7,1,-22,3
